Date,Global_active_power,Global_intensity,Global_reactive_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Voltage
16/12/2006,2749.004,11400.4,148.166,0,352,5880,345785.73
17/12/2006,2759.738,11489.2,142.508,2461,2739,12355,347092.81
18/12/2006,1406.692,5975.8,112.668,765,3845,2803,349683.93
19/12/2006,1224.252,5093.4,165.336,2304,327,3558,349294.64
20/12/2006,1720.922,7306.2,146.734,1507,6622,5960,344505.48
21/12/2006,1872.364,7894.2,181.256,2249,5800,10808,347225.2
22/12/2006,1287.252,5452.8,185.416,950,602,9433,347802.51
23/12/2006,1504.82,6296.6,157.784,1752,724,11307,346754.85
24/12/2006,496.216,2067.8,85.046,0,293,1991,346951.3
25/12/2006,830.498,3781,113.672,0,344,1939,348206.74
26/12/2006,1843.168,7759.2,221.902,1970,470,12215,346930.8
27/12/2006,1383.18,5670.2,187.086,0,634,8746,354786.62
28/12/2006,3134.942,13235.8,288.892,9356,353,17847,345983.16
29/12/2006,1616.538,6852.2,118.678,1085,309,9013,350562.01
30/12/2006,1756.378,7312.8,141.874,0,354,10821,349391.74
31/12/2006,1824.76,7678.8,150.264,1170,386,13145,346164.68
1/1/2007,1534.652,6505.4,179.25,336,280,7241,346118.79
2/1/2007,1827.752,7656,152.394,3330,622,7494,352572.17
3/1/2007,1693.778,6995.2,124.784,1111,367,14623,350829.71
4/1/2007,517.564,2172.8,107.628,0,316,1980,347502.82
5/1/2007,1141.876,4719.8,105.158,0,1287,2724,344781.38
6/1/2007,2472.554,10412.2,189.494,11224,2741,8852,348681.21
7/1/2007,1298.728,5411.2,130.076,1785,471,7115,348224.8
8/1/2007,2785.952,11735.2,202.552,4629,5401,19509,345635.26
9/1/2007,2129.052,8931.6,170.396,1079,6657,14515,347926.76
10/1/2007,1641.14,6923.4,143.048,2807,2364,7309,349784.69
11/1/2007,1687.44,7025.8,144.464,1780,517,14393,348125.99
12/1/2007,1663.858,7305.6,181.608,4005,995,8546,337937.33
13/1/2007,576.014,2451.4,150.696,0,530,2586,347682.62
14/1/2007,1512.802,6370.8,190.462,1067,1052,11709,347433.25
15/1/2007,1320.158,5659,192.524,1984,4885,6751,346531.92
16/1/2007,1045.374,4514.4,143.42,0,483,7664,338865.21
17/1/2007,1848.876,7809.4,225.34,1906,545,11307,346497.38
18/1/2007,1443.26,6208.2,229.876,2789,461,11361,347521.14
19/1/2007,1268.964,5354.2,136.97,970,400,11858,346378
20/1/2007,1026.664,4436.2,172.448,969,736,4690,345696.7
21/1/2007,1215.24,5385.6,277.788,3465,587,8390,344938.02
22/1/2007,1218.342,5251.6,265.742,989,590,9747,348205.39
23/1/2007,1349.002,5834.8,288.452,877,921,7438,344612.47
24/1/2007,1064.496,4637.6,145.16,1583,0,9812,338444.73
25/1/2007,739.576,3352.2,252.704,586,1150,5091,345319.83
26/1/2007,706.966,3178.6,242.662,0,844,6248,347764.33
27/1/2007,555.664,2477.6,184.49,0,558,4263,345313.88
28/1/2007,1701.486,7294.2,289.846,2497,569,9733,344672.27
29/1/2007,1247.51,5374.8,184.486,950,521,10183,345478.91
30/1/2007,980.536,4311.4,217.072,0,697,6073,347358.39
31/1/2007,1593.318,6756,180.18,1947,1194,13990,347418.49
1/2/2007,2154.8,9155.2,228.452,771,4456,11012,347079.53
2/2/2007,1894.076,8056.2,120.504,1307,285,9992,346762.28
3/2/2007,2102.948,8768,161.734,2828,4288,12539,351533.5
4/2/2007,2508.466,10406,227.17,3564,2032,14108,351130.49
5/2/2007,1166.972,5023.6,132.752,1863,2117,3345,344766.47
6/2/2007,1518.338,6389,148.044,0,389,12046,345074.19
7/2/2007,2012.756,8535.2,255.622,4510,570,14811,345256.41
8/2/2007,1998.904,8522.2,327.446,3325,773,10297,346092.98
9/2/2007,2611.6,11098,237.652,3697,304,13767,344318.99
10/2/2007,2112.904,8948.6,156.726,1023,355,10387,345066.94
11/2/2007,1606.184,6693.4,167.302,1118,432,11788,349201.41
12/2/2007,1946.534,8232,153.472,1026,5858,13308,344282.07
13/2/2007,1758.754,7451.4,125.012,1102,278,8281,348341.52
14/2/2007,2233.66,9230.2,146.106,1128,4144,12149,350570.47
15/2/2007,2058.042,8599,223.664,2823,351,15435,348161.87
16/2/2007,2829.328,11957.4,192.974,5071,2831,14405,345653.03
17/2/2007,2184.714,9211.4,151.736,2562,2955,10128,347436.29
18/2/2007,1943.822,8041.2,115.832,1128,263,12339,350147.19
19/2/2007,1948.196,8086.6,141.622,1219,2976,12232,349123.34
20/2/2007,2484.712,10572.4,243.528,4130,5422,10979,345316.08
21/2/2007,1618.686,6786,127.124,2009,368,8660,348087.38
22/2/2007,1836.21,7690.6,114.902,0,281,11610,348232.95
23/2/2007,1822.632,7483.6,130.298,1167,375,14916,350734.74
24/2/2007,777.364,3380.2,148.94,209,742,2572,346771.73
25/2/2007,1477.746,6199.8,163.68,3261,457,6527,348406.63
26/2/2007,1842.114,7674,165.792,2057,2822,13828,348529.66
27/2/2007,1190.208,5020.2,179.52,1044,960,8933,347447.32
28/2/2007,707.884,3177.8,168.314,946,534,3261,339546.61
1/3/2007,1909.128,8116.4,289.814,6950,612,11714,345724.17
2/3/2007,1967.634,8414,205.092,4300,6670,8693,347141.47
3/3/2007,1467.892,6134.6,144.298,0,403,12893,347037.71
4/3/2007,1340.812,5768.2,239.092,4202,1924,5983,346815.77
5/3/2007,1067.09,4615,216.018,907,585,8992,345568.39
6/3/2007,1602.996,6816.8,159.208,1032,4745,9889,346631.16
7/3/2007,1215.19,5171.8,173.226,0,474,10870,348040
8/3/2007,908.324,4012,176.244,67,2227,4631,345575.6
9/3/2007,1251.276,5390.6,240.242,982,552,8186,345409.57
10/3/2007,1192.646,5078.6,218.214,988,2624,7492,348833.13
11/3/2007,1154.504,5054.8,281.282,907,1240,8921,345690.03
12/3/2007,1028.01,4506.8,117.656,336,2651,8287,337663.89
13/3/2007,352.032,1616.4,189.106,0,464,1905,345981.44
14/3/2007,1069.358,4719,298.248,0,3719,6012,347081.04
15/3/2007,544.758,2397.4,181.808,0,525,4141,348414.72
16/3/2007,1117.376,4843.8,177.498,935,595,5613,344719.67
17/3/2007,1300.764,5554.8,166.43,1009,399,10281,344852.04
18/3/2007,1112.354,4765.2,202.392,928,600,6508,347369.69
19/3/2007,1328.108,5647,200.052,966,654,10773,348218.21
20/3/2007,2255.194,9588,230.02,1378,2170,12415,347264.19
21/3/2007,1705.818,7147.4,95.484,1261,290,7997,346190.47
22/3/2007,1975.988,8301.2,143.24,4521,5301,5887,353565.43
23/3/2007,1518.684,6242.6,156.206,1251,340,10279,354339.52
24/3/2007,1732.446,7357,153.108,2630,414,7806,343359.58
25/3/2007,1669.386,7064.6,154.848,2144,2335,11373,344422.97
26/3/2007,1938.936,8273,269.038,4111,6454,8648,346534.84
27/3/2007,1622.59,6941.4,268.53,1007,5006,8734,345493.72
28/3/2007,1887.124,7978.4,185.61,3445,320,6024,345974.78
29/3/2007,2455.95,10344,128.08,2475,2288,14651,345425.32
30/3/2007,2040.48,8603.6,223.068,2338,5105,11214,349014.75
31/3/2007,1773.592,7568,152.188,3424,2216,6259,343769.34
1/4/2007,2305.104,9665.6,133.698,1050,3817,12740,347702.74
2/4/2007,1432.522,5935.6,114.916,1160,273,7979,350522.44
3/4/2007,1784.462,7388.4,219.624,1546,385,11251,351779.21
4/4/2007,3571.228,15158.6,204.314,2430,4765,13114,344888.85
5/4/2007,1692.016,7101.8,102.246,1018,297,8930,348036.76
6/4/2007,2639.39,11133,239.362,2985,10477,12195,348620.49
7/4/2007,1369.768,5626.6,124.15,0,330,9916,352097.83
8/4/2007,3480.636,14575,173.374,4810,3420,9500,345610.5
9/4/2007,2200.042,9312.4,151.1,1271,3901,12936,346210.78
10/4/2007,2405.904,10119.8,137.244,3476,7288,10737,348222.49
11/4/2007,1951.09,8120.8,152.388,2071,320,15706,349461.28
12/4/2007,887.482,3771,192.446,0,1112,6421,347262.95
13/4/2007,1877.664,7851.8,143.89,1802,491,14522,346692.06
14/4/2007,2462.446,10332.4,253.666,3661,4286,18233,346995.73
15/4/2007,1603.152,6816.6,175.008,5499,554,8851,347746.8
16/4/2007,979.154,4359.8,132.096,926,491,6471,338730.85
17/4/2007,1610.92,6918,275.702,563,1340,6930,346299.26
18/4/2007,1517.176,6380.6,158.44,1035,457,11009,345961.91
19/4/2007,1571.368,6543,152.3,1156,345,11418,349031.63
20/4/2007,794.654,3481.8,194.634,0,487,5328,346833.72
21/4/2007,1123.206,4879.4,214.372,977,842,7566,345822.44
22/4/2007,1300.65,5548.8,159.932,0,472,10610,347293.52
23/4/2007,1470.672,6354,218.57,3439,468,11728,347692.74
24/4/2007,722.352,3167.2,153.856,1015,647,5284,347083.25
25/4/2007,1254.216,5446.4,251.036,724,558,9251,344904.35
26/4/2007,993.968,4346.2,249.472,981,683,7756,348789.3
27/4/2007,1193.572,5253.2,302.624,848,594,7781,345274.49
28/4/2007,1091.65,4731.4,115.77,1180,910,10339,338371.46
29/4/2007,371.916,1685.8,187.62,0,489,1880,346634.39
30/4/2007,950.954,4246.2,307.45,857,1467,6577,348251.75
1/5/2007,542.002,2407.2,176.064,0,542,4118,346381.73
2/5/2007,983.572,4251,151.764,943,550,5792,345703.67
3/5/2007,1028.714,4435.6,192.038,1005,417,7644,344303.72
4/5/2007,1214.146,5134.4,183.378,0,631,11693,347255.99
5/5/2007,1463.31,6209.2,235.63,930,1427,8996,348005.88
6/5/2007,1461.296,6205.2,199.14,0,439,8276,347815.02
7/5/2007,2871.408,12274.4,162.724,5594,2621,11116,345542.66
8/5/2007,1589.278,6500,112.428,0,261,12147,353558.98
9/5/2007,2190.558,8947,193.588,1646,4583,19962,352765.86
10/5/2007,1914.504,8160.6,137.984,1020,5028,11659,343413.09
11/5/2007,1907.94,8085.8,161.806,2561,5822,7171,345818.22
12/5/2007,1351.604,5714.8,157.714,997,515,9420,345922.31
13/5/2007,1579.692,6741.2,170.268,1104,780,9812,345975.37
14/5/2007,2156.146,9031.6,137.468,1018,4165,13281,345348.85
15/5/2007,2190.286,9145.8,159.172,1066,2752,9430,346156.63
16/5/2007,1463.066,6124.8,153.198,1486,429,9403,348777.61
17/5/2007,1836.822,7826.2,151.144,2054,489,10308,343926.57
18/5/2007,1588.062,6611.2,116.886,1152,254,7759,349165.91
19/5/2007,1815.534,7519.2,139.342,1157,255,12154,349981.95
20/5/2007,1816.38,7576.2,248.73,1087,4120,8198,352712.09
21/5/2007,1877.61,7925,136.704,2227,399,11517,345741.84
22/5/2007,1987.798,8419.8,130.946,2009,1856,12138,344893.18
23/5/2007,1968.66,8183,119.284,1109,299,17724,349792.6
24/5/2007,1892.998,7787.6,132.282,1241,312,15211,350821.86
25/5/2007,1950.668,8249,134.422,1403,2841,12353,346404.55
26/5/2007,1774.232,7448,138.194,1120,2374,11042,347122.38
27/5/2007,1887.26,7859.4,134.772,0,364,13655,348477.73
28/5/2007,1645.424,6800,148.71,1691,411,14076,349939.49
29/5/2007,537.706,2301,147.812,0,541,1818,345968.73
30/5/2007,2800.014,11834.2,392.272,7076,2499,15225,347130.97
31/5/2007,2141.012,9119.2,281.67,7498,1504,12470,346180.75
1/6/2007,1439.426,5996.6,157.73,660,611,11949,348489.28
2/6/2007,1441.566,6279.2,209.172,2247,1075,10408,338000.98
3/6/2007,1524.204,6508,229.14,2082,1085,11959,347099.94
4/6/2007,1625.956,6867.2,150.022,0,2713,11335,346142.56
5/6/2007,2035.418,8482,159.798,1036,4434,16362,348071.94
6/6/2007,918.766,4116.4,216.416,1882,475,3898,345923.85
7/6/2007,1259.332,5471,189.292,1951,567,7246,345153.63
8/6/2007,1101.732,4703,152.704,1009,460,7137,346949.77
9/6/2007,1974.442,8420.2,271.75,2705,3659,16202,346110.04
10/6/2007,1069.582,4656.4,209.098,1029,2550,6419,346701.05
11/6/2007,1328.852,5832.6,266.124,4436,2617,7231,345685.36
12/6/2007,513.478,2305.4,191.48,0,589,4060,348919.11
13/6/2007,1109.574,4892,285.912,1724,646,6444,345914.85
14/6/2007,1241.904,5389.6,127.776,1123,1156,8582,339357.39
15/6/2007,288.984,1373,187.042,0,462,1844,345669.53
16/6/2007,824.436,3678.2,272.552,912,689,4991,348203.92
17/6/2007,529.698,2338.2,169.098,0,514,3982,346744.7
18/6/2007,1287.764,5558.4,171.794,0,3217,7755,345621.68
19/6/2007,1392.762,5968.2,178.298,1867,402,8738,345554.37
20/6/2007,2064.358,8845.2,325.196,9583,1202,12601,346618.15
21/6/2007,1612.092,6848.2,201.358,1805,2080,8891,347932.4
22/6/2007,3186.814,13612.4,290.736,7806,2975,11341,344568.4
23/6/2007,2886.11,12177.8,144.786,6505,341,9379,345235.72
24/6/2007,2182.6,9006.2,134.142,1140,329,16194,352020.01
25/6/2007,2390.4,9504,161.28,2880,2880,27360,354470.4
26/6/2007,1926.728,8209,125.204,969,3799,8463,343822.19
27/6/2007,1461.976,6126.2,147.894,1037,535,9483,346765.57
28/6/2007,1449.1,6119.6,165.392,983,530,9530,345956.09
29/6/2007,2073.886,8662.8,172.644,1988,611,16593,346751.02
30/6/2007,2214.398,9293,140.952,978,4933,11076,347217.09
